,YEAR,COUNTY,ZIP,NGROUP,AVG_WAGE
274,1989.0,20155.0,67561.0,15.0,41252.530056028
275,1989.0,20155.0,67561.0,16.0,41252.530056028
276,1989.0,20155.0,67561.0,17.0,13726.793805871
277,1989.0,20155.0,67561.0,18.0,13726.793805871
278,1989.0,20155.0,67561.0,19.0,24701.632403627
279,1989.0,20155.0,67561.0,20.0,24701.632403627
280,1989.0,20047.0,67563.0,1.0,30446.72541113
281,1989.0,20047.0,67563.0,2.0,30446.72541113
282,1989.0,20047.0,67563.0,3.0,34252.050740104
283,1989.0,20047.0,67563.0,4.0,37051.417910606004
284,1989.0,20047.0,67563.0,5.0,33792.360843917
285,1989.0,20047.0,67563.0,6.0,34252.050740104
286,1989.0,20047.0,67563.0,7.0,34252.050740104
287,1989.0,20047.0,67563.0,8.0,34252.050740104
288,1989.0,20047.0,67563.0,9.0,30446.72541113
289,1989.0,20047.0,67563.0,10.0,37408.038323343
290,1989.0,20047.0,67563.0,11.0,28649.193619762
291,1989.0,20047.0,67563.0,12.0,24128.566075645
292,1989.0,20047.0,67563.0,13.0,24128.566075645
293,1989.0,20047.0,67563.0,14.0,24128.566075645
294,1989.0,20047.0,67563.0,15.0,23654.446451775
295,1989.0,20047.0,67563.0,16.0,23654.446451775
296,1989.0,20047.0,67563.0,17.0,9874.05651451
297,1989.0,20047.0,67563.0,18.0,9874.05651451
298,1989.0,20047.0,67563.0,19.0,30446.72541113
299,1989.0,20047.0,67563.0,20.0,30446.72541113
300,1989.0,20155.0,67566.0,1.0,39337.499053527004
301,1989.0,20155.0,67566.0,2.0,39337.499053527004
302,1989.0,20155.0,67566.0,3.0,39920.872329854
303,1989.0,20155.0,67566.0,4.0,37552.335600173
304,1989.0,20155.0,67566.0,5.0,48747.742892512004
305,1989.0,20155.0,67566.0,6.0,39920.872329854
306,1989.0,20155.0,67566.0,7.0,39920.872329854
307,1989.0,20155.0,67566.0,8.0,39920.872329854
308,1989.0,20155.0,67566.0,9.0,44862.023366447
309,1989.0,20155.0,67566.0,10.0,42468.749960738
310,1989.0,20155.0,67566.0,11.0,35822.829667882004
311,1989.0,20155.0,67566.0,12.0,42310.022956225
312,1989.0,20155.0,67566.0,13.0,42310.022956225
313,1989.0,20155.0,67566.0,14.0,42310.022956225
314,1989.0,20155.0,67566.0,15.0,41252.530056028
315,1989.0,20155.0,67566.0,16.0,41252.530056028
316,1989.0,20155.0,67566.0,17.0,13726.793805871
317,1989.0,20155.0,67566.0,18.0,13726.793805871
