,YEAR,COUNTY,NGROUP,AVG_WAGE
322,1989.0,20057.0,3.0,36294.887902083
323,1989.0,20057.0,4.0,35707.391846417995
324,1989.0,20057.0,5.0,37690.448707996
325,1989.0,20057.0,6.0,36294.887902083
326,1989.0,20057.0,7.0,36294.887902083
327,1989.0,20057.0,8.0,36294.887902083
328,1989.0,20057.0,9.0,52227.368653784004
329,1989.0,20057.0,10.0,44460.052380992005
330,1989.0,20057.0,11.0,33959.333407106
331,1989.0,20057.0,12.0,41714.281341884
332,1989.0,20057.0,13.0,41714.281341884
333,1989.0,20057.0,14.0,41714.281341884
334,1989.0,20057.0,15.0,38822.151636277005
335,1989.0,20057.0,16.0,38822.151636277005
336,1989.0,20057.0,17.0,12776.493168461999
337,1989.0,20057.0,18.0,12776.493168461999
338,1989.0,20057.0,19.0,25981.755388076002
339,1989.0,20057.0,20.0,25981.755388076002
340,1989.0,20055.0,1.0,36084.626155845
341,1989.0,20055.0,2.0,36084.626155845
342,1989.0,20055.0,3.0,36494.842699976
343,1989.0,20055.0,4.0,40751.612366461
344,1989.0,20055.0,5.0,38053.25328974
345,1989.0,20055.0,6.0,36494.842699976
346,1989.0,20055.0,7.0,36494.842699976
347,1989.0,20055.0,8.0,36494.842699976
348,1989.0,20055.0,9.0,43524.181471266
349,1989.0,20055.0,10.0,44297.202597141
350,1989.0,20055.0,11.0,32897.717727571
351,1989.0,20055.0,12.0,33452.231548532
352,1989.0,20055.0,13.0,33452.231548532
353,1989.0,20055.0,14.0,33452.231548532
354,1989.0,20055.0,15.0,38463.469833871
355,1989.0,20055.0,16.0,38463.469833871
356,1989.0,20055.0,17.0,13759.776040575
357,1989.0,20055.0,18.0,13759.776040575
358,1989.0,20055.0,19.0,26845.477659387
359,1989.0,20055.0,20.0,26845.477659387
360,1989.0,20049.0,1.0,25517.942712551
361,1989.0,20049.0,2.0,25517.942712551
362,1989.0,20049.0,3.0,21525.030923698
363,1989.0,20049.0,4.0,25517.942712551
364,1989.0,20049.0,5.0,25517.942712551
